Organization Name,address1,address2,city,State,zip,ServiceSummary
Lansing Housing Commission,419 CHERRY ST,,LANSING,MI,48933,Permanent Supportive Housing
Lansing Housing Commission,419 CHERRY ST,,LANSING,MI,48933,Permanent Supportive Housing
Holy Cross Services,430 N LARCH ST,,LANSING,MI,48912,Short Term Housing
Holy Cross Services,430 N LARCH ST,,LANSING,MI,48912,Emergency Shelter
Holy Cross Services,414 N LARCH ST,,Lansing,MI,48912,Permanent Supportive Housing
Holy Cross Services,414 N LARCH ST,,LANSING,MI,48912,Permanent Supportive Housing
Holy Cross Services,430 N LARCH ST,,LANSING,MI,48912,Emergency Shelter
Capital Area Housing Partnership,825 N Pennsylvania Ave,,LANSING,MI,48906,Other Permanent Housing
City Rescue Mission of Lansing,2216 S CEDAR ST,,LANSING,MI,48910,Emergency Shelter
City Rescue Mission of Lansing,601 N Larch Street,,Lansing,MI,48912,Emergency Shelter
Child & Family Charities/Gateway Youth Services,4287 FIVE OAKS DR,,Lansing,MI,48911,Rapid Re-Housing
Child & Family Charities/Gateway Youth Services,3240 S WAVERLY RD,,LANSING,MI,48911,Emergency Shelter
Veterans Affairs,,,Lapeer,MI,48446,Permanent Supportive Housing
MDHHS,150 S Almont,,Lapeer,MI,48003,Emergency Shelter
Lifestyles Inc.,101 Catalpa Dr,,laplata,MD,20646,Rapid Re-Housing
Interfaith - Good Samaritan Laramie,710 Garfield St,,Laramie,WY,82070,Emergency Shelter
Housing Authority of Laredo,2000 SAN FRANCISCO AVE,,LAREDO,TX,78040,Permanent Supportive Housing
Bethany House,817 HIDALGO ST,,LAREDO,TX,78040,Emergency Shelter
The Salvation Army of Laredo,408 MATAMOROS ST,,LAREDO,TX,78040,Emergency Shelter
Bethany House,817 HIDALGO ST,,LAREDO,TX,78040,Emergency Shelter
Bethany House,817 HIDALGO ST,,LAREDO,TX,78040,Transitional Housing
Pinellas County Housing Authority,11479 ULMERTON RD,,LARGO,FL,33778,Permanent Supportive Housing
Homeward Bound of Marin,127 King St.,,Larkspur,CA,94939,Other Permanent Housing
Housing Authority of the City of Las Cruces,926 S SAN PEDRO ST,,LAS CRUCES,NM,88001,Permanent Supportive Housing
Mesilla Valley Community of Hope,999 W. AMADOR,,LAS CRUCES,NM,88005,Rapid Re-Housing
Mesilla Valley Community of Hope,405 W COLLEGE AVE,,LAS CRUCES,NM,88005,Rapid Re-Housing
Mesilla Valley Community of Hope,999 W AMADOR AVE,,LAS CRUCES,NM,88005,Rapid Re-Housing
Resources for Children & Youth Inc.,1720 S TELSHOR BLVD,,LAS CRUCES,NM,88011,Permanent Supportive Housing
Mesilla Valley Community of Hope,405 W COLLEGE AVE,,LAS CRUCES,NM,88005,Permanent Supportive Housing
Mesilla Valley Community of Hope,999 W AMADOR AVE,,LAS CRUCES,NM,88005,Permanent Supportive Housing
Mesilla Valley Community of Hope,999 W AMADOR AVE,,LAS CRUCES,NM,88005,Permanent Supportive Housing
Mesilla Valley Community of Hope,1843/1845 Sexton,,Las Cruces,NM,88001,Permanent Supportive Housing
Mesilla Valley Community of Hope,999 W. Amador,,Las Cruces,NM,88005,Transitional Housing
Mesilla Valley Community of Hope,999 W. Amador,,Las Cruces,NM,88005,Transitional Housing
Mesilla Valley Community of Hope,901 W. AMADOR,,LAS CRUZ,NM,88005,Permanent Supportive Housing
SAMARITAN HOUSE INC. (YHDP),221 BERNALILLO ST.,,LAS VEGAS,NM,87701,Transitional Housing
SAMARITAN HOUSE INC. (YHDP),221 BERNALILLO ST.,,LAS VEGAS,NM,87701,Rapid Re-Housing
Samaritan House Inc.,716 GRAND AVE,,LAS VEGAS,NM,87701,Emergency Shelter
Samaritan House Inc.,2220 Bernalillo Street,,Las Vegas,NM,87701,Permanent Supportive Housing
HELP of Southern Nevada,1660 E Flamingo Road,,Las Vegas,NV,89119,Transitional Housing
VA/SNRHA,340 N 11TH ST,,LAS VEGAS,NV,89101,Permanent Supportive Housing
Las Vegas Rescue Mission,480 W BONANZA RD,,LAS VEGAS,NV,89106,Emergency Shelter
United States Veterans Initiative,525 E Bonanza,,LAS VEGAS,NV,89107,Rapid Re-Housing
St. Jude's Ranch for Children,5005 MCLEOD DR,,LAS VEGAS,NV,89120,Rapid Re-Housing
St. Jude's Ranch for Children,2685 S Rainbow Blvd,Suite 112,LAS VEGAS,NV,89146,Rapid Re-Housing
St. Jude's Ranch for Children,2685 S Rainbow Blvd,Suite 112,Las Vegas,NV,89146,Rapid Re-Housing
Lutheran Social Services of Nevada,73 Spectrum Blvd,,Las Vegas,NV,89101,Rapid Re-Housing
Lutheran Social Services of Nevada,4323 Boulder Highway,,LAS VEGAS,NV,89121,Rapid Re-Housing
HELP of Southern Nevada,1640 E FLAMINGO RD,,LAS VEGAS,NV,89119,Permanent Supportive Housing
HELP of Southern Nevada,1660 E FLAMINGO RD,,LAS VEGAS,NV,89119,Rapid Re-Housing
HELP of Southern Nevada,1640 E FLAMINGO RD,,LAS VEGAS,NV,89119,Rapid Re-Housing
Clark County Social Service,1600 PINTO LN,,LAS VEGAS,NV,89106,Rapid Re-Housing
Southern Nevada Adult Mental Health Services,6161 W CHARLESTON BLVD,,LAS VEGAS,NV,89146,Permanent Supportive Housing
United States Veterans Initiative,525 E BONANZA RD,,LAS VEGAS,NV,89101,Transitional Housing
St. Jude's Ranch for Children,2685 S Rainbow Blvd,Suite 112,Las Vegas,NV,89146,Transitional Housing
Nevada Partnership for Homeless Youth,4981 SHIRLEY ST,,LAS VEGAS,NV,89119,Emergency Shelter
Clark County Social Service,1600 PINTO LN,,LAS VEGAS,NV,89106,Emergency Shelter
Clark County Social Service,1600 Pinto Lane,,Las Vegas,NV,89106,Emergency Shelter
Lutheran Social Services of Nevada,4323 Boulder Highway,,LAS VEGAS,NV,89121,Rapid Re-Housing
United States Veterans Initiative,525 E. Bonanza,,LAS VEGAS,NV,89107,Other Permanent Housing
Lutheran Social Services of Nevada,73 Spectrum Blvd,,LAS VEGAS,NV,89101,Rapid Re-Housing
HELP of Southern Nevada,1650 E FLAMINGO RD,,LAS VEGAS,NV,89119,Other Permanent Housing
HELP of Southern Nevada,1660 E FLAMINGO RD,,LAS VEGAS,NV,89119,Rapid Re-Housing
HELP of Southern Nevada,1660 E FLAMINGO RD,,LAS VEGAS,NV,89119,Rapid Re-Housing
HELP of Southern Nevada,1660 E Flamingo Road,,LAS VEGAS,NV,89119,Rapid Re-Housing
HELP of Southern Nevada,1660 E Flamingo Road,,LAS VEGAS,NV,89119,Rapid Re-Housing
Clark County Social Service,1600 PINTO LN,,LAS VEGAS,NV,89106,Rapid Re-Housing
Clark County Social Service,1640 E Flamingo Road,,LAS VEGAS,NV,89119,Permanent Supportive Housing
Clark County Social Service,4323 Boulder Highway,,Las Vegas,NV,89121,Permanent Supportive Housing
Clark County Social Service,1640 E Flamingo Road,,LAS VEGAS,NV,89119,Permanent Supportive Housing
United States Veterans Initiative,525 E BONANZA RD,,LAS VEGAS,NV,89101,Permanent Supportive Housing
United States Veterans Initiative,2566 SHERWOOD ST,,LAS VEGAS,NV,89109,Permanent Supportive Housing
United States Veterans Initiative,2566 SHERWOOD ST,,LAS VEGAS,NV,89109,Permanent Supportive Housing
United States Veterans Initiative,525 E BONANZA RD,,LAS VEGAS,NV,89101,Permanent Supportive Housing
Southern Nevada Adult Mental Health Services,6161 W CHARLESTON BLVD,,LAS VEGAS,NV,89146,Permanent Supportive Housing
HELP of Southern Nevada,1660 E FLAMINGO RD,,LAS VEGAS,NV,89119,Permanent Supportive Housing
HELP of Southern Nevada,1640 E FLAMINGO RD,,LAS VEGAS,NV,89119,Permanent Supportive Housing
Clark County Social Service,,,Las Vegas,NV,89106,Permanent Supportive Housing
Clark County Social Service,1600 PINTO LN,,LAS VEGAS,NV,89106,Permanent Supportive Housing
Clark County Social Service,1600 PINTO LN,,LAS VEGAS,NV,89106,Permanent Supportive Housing
Freedom House,3852 Palos Verde St,,LAS VEGAS,NV,89119,Transitional Housing
FirstMed Health and Wellness Centers,8936 Spanish Ridge,,Las Vegas,NV,89148,Transitional Housing
Crossroads of Southern Nevada,2121 W Charleston Blvd,,Las Vegas,NV,89102,Transitional Housing
Clark County Social Service,1600 PINTO LN,,LAS VEGAS,NV,89106,Transitional Housing
The Salvation Army,47 W OWENS AVE,,LAS VEGAS,NV,89101,Transitional Housing
St. Jude's Ranch for Children,5005 MCLEOD DR,,LAS VEGAS,NV,89120,Transitional Housing
Nevada Partnership for Homeless Youth,4981 SHIRLEY ST,,LAS VEGAS,NV,89119,Transitional Housing
Nevada Partnership for Homeless Youth,4981 SHIRLEY ST,,LAS VEGAS,NV,89119,Transitional Housing
HELP USA,640 MCKNIGHT ST,,LAS VEGAS,NV,89101,Transitional Housing
HELP USA,640 MCKNIGHT ST,,LAS VEGAS,NV,89101,Transitional Housing
Freedom House,3852 PALOS VERDES ST,,LAS VEGAS,NV,89119,Transitional Housing
FirstMed Health and Wellness Centers,400 Shadow Lane,Suite 106,Las Vegas,NV,89106,Transitional Housing
Westcare,5659 DUNCAN DR,,LAS VEGAS,NV,89130,Short Term Housing
Westcare,930 N 4th Street,,LAS VEGAS,NV,89101,Short Term Housing
Las Vegas Rescue Mission,480 W BONANZA RD,,LAS VEGAS,NV,89106,Emergency Shelter
Westcare,5959 DUNCAN DR,,LAS VEGAS,NV,89108,Emergency Shelter
Southern Nevada Adult Mental Health Services,3275 S JONES BLVD,,LAS VEGAS,NV,89146,Emergency Shelter
Southern Nevada Adult Mental Health Services,6161 W CHARLESTON BLVD,,LAS VEGAS,NV,89146,Emergency Shelter
Nevada Partnership for Homeless Youth,4981 SHIRLEY ST,,LAS VEGAS,NV,89119,Emergency Shelter
Nevada Behavioral Health Systems,1150 LAS VEGAS BLVD S,,LAS VEGAS,NV,89104,Emergency Shelter
HELP of Southern Nevada,1650 E FLAMINGO RD,,LAS VEGAS,NV,89119,Transitional Housing
HELP of Southern Nevada,1650 E Flamingo Road,,LAS VEGAS,NV,89119,Emergency Shelter
HELP of Southern Nevada,1650 E Flamingo Road,,Las Vegas,NV,89119,Emergency Shelter
Clark County Social Service,1600 PINTO LN,,LAS VEGAS,NV,89106,Emergency Shelter
HELP of Southern Nevada,1650 E FLAMINGO RD,,LAS VEGAS,NV,89119,Emergency Shelter
HELP of Southern Nevada,1640 E FLAMINGO RD,,las vegas,NV,89119,Emergency Shelter
HELP of Southern Nevada,1640 E Flamingo Road,Suite 101,Las Vegas,NV,89119,Emergency Shelter
Family Promise,504 calcaterra,,LAS VEGAS,NV,89119,Emergency Shelter
Family Promise,320 S 9TH ST,,LAS VEGAS,NV,89101,Emergency Shelter
Crossroads of Southern Nevada,2121 W Charleston Boulevard,,Las Vegas,NV,89102,Emergency Shelter
Clark County Social Service,1600 Pinto Ln,,Las Vegas,NV,89106,Emergency Shelter
Clark County Social Service,1600 PINTO LN,,Las Vegas,NV,89106,Emergency Shelter
Catholic Charities,1501 LAS VEGAS BLVD N,,LAS VEGAS,NV,89101,Emergency Shelter
Catholic Charities,1501 LAS VEGAS BLVD N,,LAS VEGAS,NV,89101,Emergency Shelter
HELP of Southern Nevada,1650 E FLAMINGO RD,,LAS VEGAS,NV,89119,Transitional Housing
South Oakland Shelter,18505 W 12 MILE RD,,LATHRUP VLG,MI,48076,Permanent Supportive Housing
South Oakland Shelter,18505 W 12 MILE RD,,LATHRUP VLG,MI,48076,Permanent Supportive Housing
South Oakland Shelter,18505 W 12 MILE RD,,LATHRUP VLG,MI,48076,Emergency Shelter
Union Mission of Latrobe Inc.,2217 HARRISON AVE,,LATROBE,PA,15650,Permanent Supportive Housing
Union Mission of Latrobe Inc.,2217 Harrison Ave,,LATROBE,PA,15650,Emergency Shelter
Union Mission of Latrobe Inc.,2217 HARRISON AVE,,LATROBE,PA,15650,Emergency Shelter
Broward County Housing Authority,4780 N STATE ROAD 7,,LAUD LAKES,FL,33319,Permanent Supportive Housing
Broward County Housing Authority,4780 N STATE ROAD 7,,LAUD LAKES,FL,33319,Permanent Supportive Housing
Broward County Housing Authority,4780 N STATE ROAD 7,,LAUD LAKES,FL,33319,Permanent Supportive Housing
Broward County Housing Authority,4780 N STATE ROAD 7,,LAUD LAKES,FL,33319,Permanent Supportive Housing
Broward County Housing Authority,4780 N STATE ROAD 7,,LAUD LAKES,FL,33319,Permanent Supportive Housing
Broward County Housing Authority,4780 N STATE ROAD 7,,LAUD LAKES,FL,33319,Permanent Supportive Housing
Broward County Housing Authority,4780 N STATE ROAD 7,,LAUD LAKES,FL,33319,Permanent Supportive Housing
Broward County Housing Authority,4780 N STATE ROAD 7,,LAUD LAKES,FL,33319,Transitional Housing
Broward County Housing Authority,4780 NORTH STATE ROAD 7,,Laud. Lakes,FL,33319,Permanent Supportive Housing
Henderson Behavioral Health Center,5700 NW 27TH CT,,LAUDERHILL,FL,33313,Short Term Housing
Henderson Behavioral Health Center,5800 NW 27TH CT,,LAUDERHILL,FL,33313,Transitional Housing
Code Purple,100 Walnut Dr,,Laurel,DE,19956,Emergency Shelter
LARS Inc,311 LAUREL AVE,,LAUREL,MD,20707,Permanent Supportive Housing
The Salvation Army-Laurel,207B N 13TH AVE,,LAUREL,MS,39440,Emergency Shelter
IHOC,12A WARWICK RD N,,LAWNSIDE,NJ,8045,Transitional Housing
Lawrence-Douglas County Housing Authority,1600 Haskell Ave 187,,Lawrence,KS,66044,Permanent Supportive Housing
Family Promise,913 TENNESSEE ST,,LAWRENCE,KS,66044,Transitional Housing
The Salvation Army,946 New Hampsire,,Lawrence,KS,66044,Rapid Re-Housing
The Salvation Army,946 NEW HAMPSHIRE ST,,LAWRENCE,KS,66044,Permanent Supportive Housing
Family Promise,905 TENNESSEE ST,,LAWRENCE,KS,66044,Emergency Shelter
Lawrence-Douglas County Housing Authority,1600 Haskell Avenue,,Lawrence,KS,66044,Transitional Housing
Lawrence-Douglas County Housing Authority,1600 HASKELL AVE APT 187,,LAWRENCE,KS,66044,Transitional Housing
Lawrence-Douglas County Housing Authority,1600 HASKELL AVE APT 187,,LAWRENCE,KS,66044,Permanent Supportive Housing
Lawrence-Douglas County Housing Authority,1600 Haskell Avenue,,Lawrence,KS,66046,Transitional Housing
Bert Nash Community Mental Health Center,200 MAINE ST,,LAWRENCE,KS,66044,Transitional Housing
Lawrence Community Shelter Inc. (LCS),3655 E 25TH ST,,LAWRENCE,KS,66046,Emergency Shelter
Catholic Charities of Lawrence,1247 KENTUCKY ST,,LAWRENCE,KS,66044,Rapid Re-Housing
YWCA of Greater Lawrence,203 HAVERHILL ST,,LAWRENCE,MA,1840,Permanent Supportive Housing
The Psychological Center,19 WINTER ST,,LAWRENCE,MA,1841,Emergency Shelter
Department of Mental Health,,,LAWRENCE,MA,1841,Permanent Supportive Housing
YWCA of Greater Lawrence,CONFIDENTIAL,,LAWRENCE,MA,1840,Emergency Shelter
Emmaus,572 Essex St,,LAWRENCE,MA,1840,Permanent Supportive Housing
YWCA of Greater Lawrence,CONFIDENTIAL,,LAWRENCE,MA,1840,Transitional Housing
Casa Nueva Vida,133 ESSEX ST,,LAWRENCE,MA,1840,Emergency Shelter
Community Teamwork,,,LAWRENCE,MA,1843,Rapid Re-Housing
Eliot Community Human Services,248 BROADWAY,,LAWRENCE,MA,1840,Permanent Supportive Housing
Veterans Northeast Outreach Center,,,LAWRENCE,MA,1841,Rapid Re-Housing
Commonwealth Land Trust,248 BROADWAY,,LAWRENCE,MA,1840,Permanent Supportive Housing
"Greater Lawrence Community Action Council, Inc",,,LAWRENCE,MA,1840,Permanent Supportive Housing
YWCA of Greater Lawrence,38 LAWRENCE ST,,LAWRENCE,MA,1840,Permanent Supportive Housing
YWCA of Greater Lawrence,203 HAVERHILL ST,,LAWRENCE,MA,1840,Transitional Housing
Casa Nueva Vida,57 JACKSON ST,,LAWRENCE,MA,1840,Emergency Shelter
Casa Nueva Vida,59 JACKSON ST,,LAWRENCE,MA,1840,Emergency Shelter
Casa Nueva Vida,49 THORNDIKE ST,,LAWRENCE,MA,1841,Emergency Shelter
City of Lawrence,243 S BROADWAY,,LAWRENCE,MA,1843,Permanent Supportive Housing
Lazarus House Ministries,30 MYRTLE ST,,LAWRENCE,MA,1841,Other Permanent Housing
Lazarus House Ministries,48 HOLLY ST,,LAWRENCE,MA,1841,Emergency Shelter
Lazarus House Ministries,30 MYRTLE ST,,LAWRENCE,MA,1841,Transitional Housing
"CMHC, Inc.",281 BIELBY RD,,LAWRENCEBURG,IN,47025,Permanent Supportive Housing
"CMHC, Inc.",283 BIELBY RD,,LAWRENCEBURG,IN,47025,Permanent Supportive Housing
"CMHC, Inc.",12 ELM ST,,LAWRENCEBURG,IN,47025,Permanent Supportive Housing
"CMHC, Inc.",200 E CENTER ST,,LAWRENCEBURG,IN,47025,Permanent Supportive Housing
Viewpoint Health,175 Gwinnet Dr.,,Lawrenceville,GA,30046,Emergency Shelter
"Another Chance of Atlanta, Inc.",,,Lawrenceville,GA,30046,Rapid Re-Housing
HOPE Atlanta (Travelers Aid),,,Lawrenceville,GA,30043,Rapid Re-Housing
HOPE Atlanta (Travelers Aid),,,Lawrenceville,GA,30043,Rapid Re-Housing
Asian American Resource Center,,,Lawrenceville,GA,30046,Rapid Re-Housing
Viewpoint Health,1020 LAKES PKWY,,LAWRENCEVILLE,GA,30043,Permanent Supportive Housing
Lawrenceville Cooperative Ministry,52 Gwinnett Dr Suite C,,Lawrenceville,GA,30046,Emergency Shelter
Viewpoint Health,,,Lawrenceville,GA,30043,Permanent Supportive Housing
Home Front,1880 PRINCETON AVE,,LAWRENCEVILLE,NJ,8648,Permanent Supportive Housing
Home Front,1880 PRINCETON AVE,,LAWRENCEVILLE,NJ,8648,Permanent Supportive Housing
Home Front,1880 PRINCETON AVE,,LAWRENCEVILLE,NJ,8648,Emergency Shelter
Home Front,1880 PRINCETON AVE,,LAWRENCEVILLE,NJ,8648,Transitional Housing
Family Promise,901 SW 17th Street,,LAWTON,OK,73501,Emergency Shelter
Next Step Program,1325 SW WISCONSIN AVE,,LAWTON,OK,73501,Transitional Housing
Great Plains Improvements Foundation Inc.,1203 SW TEXAS AVE,,LAWTON,OK,73501,Emergency Shelter
Salvation Army,1306 SW E AVE,,LAWTON,OK,73501,Emergency Shelter
Open Doors (Family Connection Center),875 East HWY 193,,Layton,UT,84041,Rapid Re-Housing
Open Doors (Family Connection Center),875 East HWY 193,,Layton,UT,84040,Rapid Re-Housing
Family Promise of Clear Creek,1101 S Egret Bay BLVD,,League City,TX,77573,Transitional Housing
Leavenworth VA Medical Center,4101 S 4TH ST,,LEAVENWORTH,KS,66048,Emergency Shelter
Leavenworth Housing Authority,200 SHAWNEE ST,,LEAVENWORTH,KS,66048,Permanent Supportive Housing
Leavenworth Hope,217 N 5TH ST,,LEAVENWORTH,KS,66048,Emergency Shelter
Leavenworth Interfaith Community of Hope,311 Kiowa,,Leavenworth,KS,66048,Emergency Shelter
Catholic Charities of Leavenworth,716 N 5TH ST,,LEAVENWORTH,KS,66048,Rapid Re-Housing
Mental Health Association of the Heartland,150 MARION ST,,LEAVENWORTH,KS,66048,Permanent Supportive Housing
Mental Health Association of the Heartland,150 MARION ST,,LEAVENWORTH,KS,66048,Permanent Supportive Housing
Upper Valley MEND,219 14th St.,,Leavenworth,WA,98826,Emergency Shelter
Project Help DBA The Caring Center,1230 RANSDELL CT,,LEBANON,IN,46052,Transitional Housing
Coalition on Homelessness and Housing in Ohio,990 East Ridge Drive,,Lebanon,OH,45036,Transitional Housing
Warren Metropolitan Housing Authority,990 East Ridge Drive,,Lebanon,OH,45036,Rapid Re-Housing
Warren Metropolitan Housing Authority,990 East Ridge Drive,,Lebanon,OH,45036,Rapid Re-Housing
Interfaith Hospitality Network of Warren County,203 E. Warren St.,,Lebanon,OH,45036,Rapid Re-Housing
Interfaith Hospitality Network of Warren County,203 E. Warren St.,,Lebanon,OH,45036,Rapid Re-Housing
Warren Metropolitan Housing Authority,990 E. Ridge Dr.,,Lebanon,OH,45036,Permanent Supportive Housing
Abuse and Rape Crisis Shelter of Warren County Inc,,,Lebanon,OH,45036,Emergency Shelter
Interfaith Hospitality Network of Warren County,203 East Warren Street,,Lebanon,OH,45036,Emergency Shelter
Veterans Administration Medical Center - Lebanon,1700 South Lincoln Avenue,,Lebanon,PA,17042,Permanent Supportive Housing
Lebanon County Community Action Partnership,503 Oak St.,,Lebanon,PA,17042,Other Permanent Housing
Lebanon Rescue Mission,139 S 8TH ST,,LEBANON,PA,17042,Transitional Housing
Lebanon County Community Action Partnership,1300 S. White Oak St.,,LEBANON,PA,17042,Transitional Housing
Lebanon Rescue Mission,1223 BITTNER BLVD,,LEBANON,PA,17046,Emergency Shelter
Lebanon County Community Action Partnership,503 Oak St,,Lebanon,PA,17042,Emergency Shelter
Lebanon Co. Christian Ministries,250 S 7th St,,LEBANON,PA,17042,Emergency Shelter
Brooks House,219 VIRGINIA AVE,,LEBANON,TN,37087,Emergency Shelter
Compassionate Hands,104 TRINITY DR,,LEBANON,TN,37087,Emergency Shelter
Citrus County BOCC,2804 W Marc Knighton Ct,,LECANTO,FL,34461,Permanent Supportive Housing
Citrus County BOCC,2804 W Marc Knighton Ct,,Lecanto,FL,34461,Permanent Supportive Housing
Soldier On,421 N MAIN ST,,LEEDS,MA,1053,Emergency Shelter
Soldier On,421 N MAIN ST,,LEEDS,MA,1053,Transitional Housing
Northampton Housing Authority,421 N MAIN ST,,LEEDS,MA,1053,Permanent Supportive Housing
Northampton Housing Authority,421 N MAIN ST,,LEEDS,MA,1053,Permanent Supportive Housing
Northampton Housing Authority,421 N MAIN ST,,LEEDS,MA,1053,Permanent Supportive Housing
Soldier On,421 N MAIN ST,,LEEDS,MA,1053,Transitional Housing
Soldier On,421 N MAIN ST,,LEEDS,MA,1053,Rapid Re-Housing
